State,Account_Length,Area_Code,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Scored Labels,Scored Probabilities
IN,64,408,no,no,0,113.8,97,192.3,97,214.9,89,10.4,1,3,False,False,0.00189970596693456
PA,91,415,no,no,0,139.8,109,157,91,218.6,122,13.6,4,3,False,False,0.000611994531936944
MO,123,415,no,no,0,206.9,85,244.7,78,221.5,136,7.7,2,3,False,False,0.000329181144479662
NM,1,510,no,yes,26,69.7,84,250.4,79,230.2,122,8.3,3,2,False,False,0.000476448476547375
CT,110,415,no,no,0,251.3,91,207.2,95,249,70,12.9,2,1,True,True,0.998711287975311
KS,131,510,no,no,0,195.6,93,245,100,104.7,97,13.2,6,2,False,False,0.00147591612767428
WV,3,408,no,no,0,182.9,87,172.1,103,233.1,89,12.1,3,4,False,False,0.00316039426252246
FL,185,510,no,yes,24,121.6,100,108.3,77,206.3,98,12.3,2,5,True,True,0.999998986721039
CO,98,408,no,no,0,236.2,122,189.4,110,153.6,104,13.3,4,0,False,False,0.00110559922177345
NV,148,415,no,no,0,279.3,104,201.6,87,280.8,99,7.9,2,2,True,True,0.999880194664001
NJ,75,415,no,yes,42,248.9,93,170.8,108,104.5,91,11.2,8,1,False,False,6.14653836237267E-05
ND,62,510,no,no,0,159.9,100,172.2,99,263.2,109,5.6,4,1,False,False,0.000915924843866378
VT,86,415,no,yes,34,129.4,102,267.1,104,154.8,100,9.3,16,0,False,False,0.000410934851970524
OK,172,408,no,no,0,203.9,109,234,123,160.7,65,17.8,4,4,False,False,0.000443003984401003
MO,103,415,no,yes,34,240.6,92,204.2,99,297,82,12.7,9,5,False,False,0.000123935198644176
WI,105,415,no,yes,34,218.5,61,196.7,74,151.1,103,9.9,4,2,False,False,0.000258128216955811
ID,164,408,yes,yes,28,156.1,98,209.9,140,190,69,11.4,4,0,False,False,0.00044007899123244
TN,222,415,no,no,0,256.6,119,230.8,98,236,97,12.2,5,1,True,True,0.999654591083527
UT,95,415,no,no,0,155.5,99,167,75,190.7,125,13.2,4,1,False,False,0.000992464600130916
GA,44,510,no,no,0,288.1,112,258,92,192.4,90,10.2,4,3,True,True,0.999995410442352
NV,139,510,yes,no,0,172.6,92,281.7,123,253.4,117,10.5,3,3,False,False,0.414200961589813
NH,127,415,no,no,0,200.8,104,181.4,73,89.7,49,9.7,5,0,False,False,0.000915489974431694
TX,98,510,no,no,0,86.1,78,222.7,130,155,124,9,7,0,False,False,0.00153862382285297
AL,132,408,no,no,0,222.4,85,165.4,76,208.4,97,11.2,4,0,False,False,0.000861820706631988
WI,161,408,no,no,0,154.7,84,177.8,125,172.9,90,5.9,2,4,True,True,0.999675393104553
MI,127,415,no,no,0,202.1,103,229.4,86,195.2,113,11.5,3,2,False,False,0.00103790743742138
CO,125,415,no,no,0,131.8,97,136.7,100,308.2,119,7.7,6,2,False,False,0.00143968791235238
OR,123,415,no,yes,38,202.3,104,292.4,105,239.3,63,11.2,1,3,False,False,0.000467137695522979
CA,126,415,no,no,0,97,96,213.1,79,322.2,79,10.8,3,5,True,True,0.999904572963715
KY,71,415,no,no,0,104,92,197,125,110.1,123,14.6,8,0,False,False,0.00373073411174119
NE,132,510,no,no,0,99.5,110,129.1,80,125.1,124,9.7,3,0,False,False,0.000212702550925314
MA,119,408,yes,yes,16,147.2,103,160.1,96,184,120,7.7,2,0,True,True,0.999917805194855
CT,100,415,no,yes,38,177.1,88,163.7,108,242.7,72,7.4,2,0,False,False,0.000466926110675558
CT,77,415,no,no,0,221.8,84,166,125,210.2,72,13.2,4,1,False,False,0.000431692664278671
NE,76,510,no,no,0,143.3,98,309.1,101,207.3,122,11.4,3,2,False,False,0.000422627170337364
TX,109,510,yes,no,0,159.6,136,151,126,142.1,53,7.3,4,4,True,True,0.999960422515869
SC,90,408,no,yes,29,150.1,109,264.7,103,178.4,97,5.8,4,1,False,False,0.0077252178452909
LA,96,510,no,no,0,182.6,75,188.6,67,137.7,81,9.5,3,5,True,False,0.133973672986031
KS,88,415,no,no,0,189.8,111,197.3,101,234.5,111,14.9,3,2,False,False,0.000606072891969234
