State,Account_Length,Area_Code,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Scored Labels,Scored Probabilities
WY,2,415,no,yes,27,141.7,125,160.7,136,170.3,81,9.3,2,1,False,False,0.000821030873339623
MA,120,415,no,no,0,137.3,100,212.2,129,152.7,92,10.5,2,1,False,False,0.000695587485097349
CO,102,415,yes,no,0,78.4,117,214.7,113,119.5,75,7.2,5,0,False,False,0.00226581655442715
IN,76,415,no,no,0,204.2,100,292.6,139,244.3,105,10.5,2,0,False,False,0.0142073258757591
NC,93,510,no,no,0,217.2,92,204.5,83,157.9,101,11.4,10,1,False,False,0.0013108792481944
CT,87,415,no,no,0,240,83,134.1,106,189.1,84,9.3,2,0,True,True,0.973354399204254
ND,146,408,no,yes,19,176.6,88,162.7,66,215.5,98,14.6,6,1,False,False,0.00029062814428471
WV,75,415,no,no,0,111.7,121,237.3,119,253.5,110,13.1,6,1,False,False,0.000692534784320742
KY,21,415,no,no,0,92.6,95,161.9,70,285,78,11.3,3,5,True,True,0.999693751335144
MI,108,408,no,yes,32,209.5,108,109.6,64,189.7,145,9.1,6,6,True,True,0.997145295143127
VA,105,415,no,no,0,259.3,96,175.2,97,222.4,36,12,5,3,False,False,0.00149189680814743
MN,44,408,no,no,0,207.2,90,178.6,76,182,74,0,0,0,False,False,0.000487710756715387
NM,53,415,no,no,0,143.8,102,199.6,124,177.8,65,7.8,4,1,False,False,0.000207863326068036
CA,33,408,no,no,0,159.5,115,195.4,118,102.4,86,7.1,7,1,False,False,9.71929257502779E-05
CA,137,415,no,yes,22,189.6,42,179,137,179.6,126,11.4,5,2,False,False,0.00168179953470826
AL,149,415,no,yes,20,264.4,102,219.6,123,200.4,89,11.3,3,2,False,False,7.79198453528807E-05
NC,54,408,no,no,0,199.8,94,308,112,162.6,99,10.1,4,0,False,False,0.00502920057624578
NE,93,408,no,no,0,152.4,74,274.6,88,252.2,120,6.6,5,3,False,False,0.00156256929039955
ND,153,415,no,yes,31,218.5,130,134.2,103,118.9,105,9.4,6,0,False,False,0.00137219449970871
