X_dataobs_,State,Account_Length,Area_Code,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Assignments
1,KS,128,415,no,yes,25,265.1,110,197.4,99,244.7,91,10,3,1,False,0
2,OH,107,415,no,yes,26,161.6,123,195.5,103,254.4,103,13.7,3,1,False,1
3,NJ,137,415,no,no,0,243.4,114,121.2,110,162.6,104,12.2,5,0,False,3
4,OH,84,408,yes,no,0,299.4,71,61.9,88,196.9,89,6.6,7,2,False,3
5,OK,75,415,yes,no,0,166.7,113,148.3,122,186.9,121,10.1,3,3,False,3
6,AL,118,510,yes,no,0,223.4,98,220.6,101,203.9,118,6.3,6,0,False,0
7,MA,121,510,no,yes,24,218.2,88,348.5,108,212.6,118,7.5,7,3,False,6
8,MO,147,415,yes,no,0,157,79,103.1,94,211.8,96,7.1,6,0,False,3
9,LA,117,408,no,no,0,184.5,97,351.6,80,215.8,90,8.7,4,1,False,6
10,WV,141,415,yes,yes,37,258.6,84,222,111,326.4,97,11.2,5,0,False,0
11,IN,65,415,no,no,0,129.1,137,228.5,83,208.8,111,12.7,6,4,True,6
12,RI,74,415,no,no,0,187.7,127,163.4,148,196,94,9.1,5,0,False,3
13,IA,168,408,no,no,0,128.8,96,104.9,71,141.1,128,11.2,2,1,False,4
14,MT,95,510,no,no,0,156.6,88,247.6,75,192.3,115,12.3,5,3,False,6
15,IA,62,415,no,no,0,120.7,70,307.2,76,203,99,13.1,6,4,False,6
16,NY,161,415,no,no,0,332.9,67,317.8,97,160.6,128,5.4,9,4,True,0
17,ID,85,408,no,yes,27,196.4,139,280.9,90,89.3,75,13.8,4,1,False,5
18,VT,93,510,no,no,0,190.7,114,218.2,111,129.6,121,8.1,3,3,False,5
19,VA,76,510,no,yes,33,189.7,66,212.8,65,165.7,108,10,5,1,False,5
20,TX,73,415,no,no,0,224.4,90,159.5,88,192.8,74,13,2,1,False,3
21,FL,147,415,no,no,0,155.1,117,239.7,93,208.8,133,10.6,4,0,False,6
22,CO,77,408,no,no,0,62.4,89,169.9,121,209.6,64,5.7,6,5,True,4
23,AZ,130,415,no,no,0,183,112,72.9,99,181.8,78,9.5,19,0,False,3
24,SC,111,415,no,no,0,110.4,103,137.3,102,189.6,105,7.7,6,2,False,4
25,VA,132,510,no,no,0,81.1,86,245.2,72,237,115,10.3,2,0,False,1
26,NE,174,415,no,no,0,124.3,76,277.1,112,250.7,115,15.5,5,3,False,6
27,WY,57,408,no,yes,39,213,115,191.1,112,182.7,115,9.5,3,0,False,5
28,MT,54,408,no,no,0,134.3,73,155.5,100,102.1,68,14.7,4,3,False,4
29,HI,49,510,no,no,0,119.3,117,215.1,109,178.7,90,11.1,1,1,False,4
30,IL,142,415,no,no,0,84.8,95,136.7,63,250.5,148,14.2,6,2,False,4
31,NH,75,510,no,no,0,226.1,105,201.5,107,246.2,98,10.3,5,1,False,0
32,LA,172,408,no,no,0,212,121,31.2,115,293.3,78,12.6,10,3,False,3
33,OK,57,408,no,yes,25,176.8,94,195,75,213.5,116,8.3,4,0,False,1
34,GA,72,415,no,yes,37,220,80,217.3,102,152.8,71,14.7,6,3,False,5
35,AK,36,408,no,yes,30,146.3,128,162.5,80,129.3,109,14.5,6,0,False,4
36,MA,78,415,no,no,0,130.8,64,223.7,116,227.8,108,10,5,1,False,1
37,AK,136,415,yes,yes,33,203.9,106,187.6,99,101.7,107,10.5,6,3,False,5
38,NJ,149,408,no,no,0,140.4,94,271.8,92,188.3,108,11.1,9,1,False,6
39,GA,98,408,no,no,0,126.3,102,166.8,85,187.8,135,9.4,2,3,False,4
40,MD,135,408,yes,yes,41,173.1,85,203.9,107,122.2,78,14.6,15,0,True,5
41,AR,34,510,no,no,0,124.8,82,282.2,98,311.5,78,10,4,2,False,1
42,ID,160,415,no,no,0,85.8,77,165.3,110,178.5,92,9.2,4,3,False,4
43,WI,64,510,no,no,0,154,67,225.8,118,265.3,86,3.5,3,1,False,1
44,OR,59,408,no,yes,28,120.9,97,213,92,163.1,116,8.5,5,2,False,4
45,MI,65,415,no,no,0,211.3,120,162.6,122,134.7,118,13.2,5,3,False,5
46,DE,142,408,no,no,0,187,133,134.6,74,242.2,127,7.4,5,2,False,3
47,ID,119,415,no,no,0,159.1,114,231.3,117,143.2,91,8.8,3,5,True,5
48,IA,52,408,no,no,0,191.9,108,269.8,96,236.8,87,7.8,5,3,False,6
49,IN,60,408,no,no,0,220.6,57,211.1,115,249,129,6.8,3,1,False,0
50,VA,10,408,no,no,0,186.1,112,190.2,66,282.8,57,11.4,6,2,False,1
51,UT,96,415,no,no,0,160.2,117,267.5,67,228.5,68,9.3,5,2,False,6
52,WY,87,415,no,no,0,151,83,219.7,116,203.9,127,9.7,3,5,True,6
53,IN,81,408,no,no,0,175.5,67,249.3,85,270.2,98,10.2,3,1,False,1
54,CO,141,415,no,no,0,126.9,98,180,62,140.8,128,8,2,1,False,4
55,CO,121,408,no,yes,30,198.4,129,75.3,77,181.2,77,5.8,3,3,True,3
56,WI,68,415,no,no,0,148.8,70,246.5,164,129.8,103,12.1,3,3,False,6
57,OK,125,408,no,no,0,229.3,103,177.4,126,189.3,95,12,8,1,False,2
58,ID,174,408,no,no,0,192.1,97,169.9,94,166.6,54,11.4,4,1,False,2
59,CA,116,415,no,yes,34,268.6,83,178.2,142,166.3,106,11.6,3,2,False,5
60,MN,74,510,no,yes,33,193.7,91,246.1,96,138,92,14.6,3,2,False,5
61,SD,149,408,no,yes,28,180.7,92,187.8,64,265.5,53,12.6,3,3,False,2
62,NC,38,408,no,no,0,131.2,98,162.9,97,159,106,8.2,6,2,False,4
63,WA,40,415,no,yes,41,148.1,74,169.5,88,214.1,102,6.2,5,2,False,1
64,MN,113,408,yes,no,0,125.2,93,206.4,119,129.3,139,8.3,8,0,False,4
65,TX,150,510,no,no,0,178.9,101,169.1,110,148.6,100,13.8,3,4,True,2
66,NJ,138,408,no,no,0,241.8,93,170.5,83,295.3,104,11.8,7,3,False,0
67,MN,162,510,no,yes,46,224.9,97,188.2,84,254.6,61,12.1,2,0,False,2
68,NM,147,510,no,no,0,248.6,83,148.9,85,172.5,109,8,4,3,False,2
69,NV,90,415,no,no,0,203.4,146,226.7,117,152.4,105,7.3,4,1,False,5
70,HI,85,415,no,no,0,235.8,109,157.2,94,188.2,99,12,3,0,False,3
71,MN,50,415,no,no,0,157.1,90,223.3,72,181.4,111,6.1,2,1,False,6
72,DC,82,415,no,no,0,300.3,109,181,100,270.1,73,11.7,4,0,True,0
73,NY,144,408,no,no,0,61.6,117,77.1,85,173,99,8.2,7,4,True,4
74,MN,46,415,no,no,0,214.1,72,164.4,104,177.5,113,8.2,3,2,False,3
75,MD,70,408,no,no,0,170.2,98,155.2,102,228.6,76,15,2,1,False,3
76,WV,144,415,no,no,0,201.1,99,303.5,74,224,119,13.2,2,1,False,6
77,OR,116,415,yes,no,0,215.4,104,204.8,79,278.5,109,12.6,5,3,False,0
78,CO,55,408,no,yes,25,165.6,123,136.1,95,175.7,90,11,2,3,False,3
79,GA,70,415,no,yes,24,249.5,101,259.7,98,222.7,68,9.8,4,1,False,0
80,TX,106,510,no,no,0,210.6,96,249.2,85,191.4,88,12.4,1,2,True,6
81,VT,128,510,no,yes,29,179.3,104,225.9,86,323,78,8.6,7,0,False,1
82,IN,94,408,no,no,0,157.9,105,155,101,189.6,84,8,5,4,True,4
